genesymbol	log2FoldChange	padj	genename	chromosome_name	idx
YBR208C	0.587083336311159	0.00284348256032395	DUR1,2	2	127
YBR209W	0.658128465890009	0.203015827808123	NA	2	128
YBR210W	-0.0552133974752186	0.549989719649541	ERV15	2	129
YBR211C	2.2192072537418	0.0316213085532345	AME1	2	129
YBR212W	1.89128669256209	3.50680502256697e-06	NGR1	2	129
YBR213W	0.586019387038284	0.27774111873675	MET8	2	130
YBR214W	-1.68146309547663	0.00631841009260928	SDS24	2	130
YBR215W	-0.418972483902205	0.816196131405787	HPC2	2	130
YBR216C	0.337665068115585	0.157361048499362	YBP1	2	131
YBR217W	-1.33617873142832	0.461722891543769	ATG12	2	131
YBR218C	0.178550561793124	0.125303766663307	PYC2	2	131
YBR220C	-0.509187649571202	0.190295568904045	NA	2	132
YBR221C	0.289256768593178	0.697216982020148	PDB1	2	133
YBR221W-A	2.53624849807119	0.0061502682612911	NA	2	133
YBR222C	1.77557242119154	0.0452136758475928	PCS60	2	133
YBR223C	0.719232576509505	0.660936636780966	TDP1	2	133
YBR225W	0.0990559139738978	0.714838054730982	NA	2	134
YBR227C	2.31695251512106	0.0306843909485434	MCX1	2	134
YBR228W	0.132394432159809	0.15715409277904	SLX1	2	135
YBR229C	-0.708119767604873	0.0730049299665241	ROT2	2	135
YBR230C	0.545707614812161	0.617554254381004	OM14	2	135
YBR230W-A	0.640370176428525	0.430823506329011	NA	2	136
YBR231C	0.647406317063765	0.693272442582978	SWC5	2	136
YBR233W	-0.901290709076358	0.570414478645236	PBP2	2	136
YBR234C	-0.438694060103546	0.0644222968457218	ARC40	2	137
YBR235W	-0.624043831649294	0.00709250579417651	VHC1	2	137
YBR236C	-0.320892701255356	0.312039903051005	ABD1	2	138
YBR237W	-0.206223843556642	0.710590459612874	PRP5	2	138
YBR238C	1.1111714230343	0.219186342627223	NA	2	139
YBR239C	-0.489875898311028	0.647536010616147	ERT1	2	139
YBR240C	-0.744280332804634	0.817361526702447	THI2	2	140
YBR241C	0.876133492249468	0.0107100013348032	NA	2	140
YBR242W	0.824595388723335	0.149531609833424	NA	2	140
YBR243C	0.0185719628629235	0.611626223904669	ALG7	2	141
YBR244W	1.37178120268488	0.00717371535928148	GPX2	2	141
YBR245C	0.140794063095108	0.622076090694598	ISW1	2	141
YBR246W	1.81111017264448	0.0641650754652	RRT2	2	142
YBR247C	-1.14345243951453	0.100137678463229	ENP1	2	142
YBR248C	-1.32676831043331	0.00095353323343636	HIS7	2	142
YBR249C	0.43595354711825	0.239187527444041	ARO4	2	143
YBR251W	-0.663357860642153	0.579398597746749	MRPS5	2	144
YBR252W	-0.369691227844874	0.782369017179421	DUT1	2	144
YBR253W	1.73665966960707	0.0786569052341555	SRB6	2	144
YBR254C	-1.25594092349886	0.385835394946759	TRS20	2	144
YBR255C-A	0.878773435443682	0.561750217590318	RCF3	2	145
YBR255W	1.84316917391703	0.0540907488777099	MTC4	2	144
YBR256C	0.851358354565179	0.361266487181346	RIB5	2	145
YBR257W	0.409316284374343	0.325070614644605	POP4	2	145
YBR258C	0.105741972482995	0.537996737860032	SHG1	2	145
YBR259W	2.72000025551859	5.87080723249223e-08	NA	2	146
